"","depth_class","Ecosystem_type","AI","MAP","MAT","PS_Bio15","TS_Bio4","TAR_Bio7","MaxTWM_Bio5","MinTCM_Bio6","MMTD_Bio2","PWM_Bio13","PDM_Bio14","Elevation","Slope","Mean_pH","Moisture","TC","CEC","Bulk.Density","RootDepth","GPP","Sand.content","Clay.content","Silt.content","Bedrock","Shannon_EVI","LAI","AbovegroundBiomass","BelowgroundBiomass","depth_mid","length","degree","CUE"
"11","30-60","Forest",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.43333333333333,18.2372881355932,1.05,0.0649499985482544,1.07671333333333,3.44853901863098,0,80.5,6,13.5,2001,24174,2.92449998855591,21.9,12.5,30,0.353465902472575,66.3590509348759,0.324279088549299
"12","30-60","Forest",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.50333333333333,18.3242506811989,0.725,0.0685499984677881,1.06152,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,21.9,12.5,50,0.297484493147562,71.3942659721736,0.462882649408012
"13","0-30","Forest",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.20944444444444,16.5554072096128,2.12,0.0690333317903181,1.09135977777778,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,1.9,8.4,10,0.544075731305422,63.3905371009841,0.282465785946197
"14","30-60","Forest",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.41333333333333,18.2496607869742,1.05,0.0649499985482544,1.06694333333333,3.44853901863098,0,80.5,6,13.5,2001,24174,2.92449998855591,1.9,8.4,30,0.179154635577134,67.7353485614961,0.430258000619787
"15","30-60","Forest",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.45333333333333,18.3699059561128,0.725,0.0685499984677881,1.07220666666667,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,1.9,8.4,50,0.178455712866973,71.2877766683643,0.469110763041436
"16","0-30","Agri",0.4251,576.7,10,87.5817565917969,949.534484863281,36.9000015258789,25.5,-11.3999996185303,10.9749994277954,106,2,1427,6.75412034988403,8.33166666666667,12.3333333333333,2.12,0.065633331866314,0.994174444444444,5.03547716140747,0,35,17,48,3654,23951,3.6774001121521,2,5.3,10,0.50980768589539,65.3477007838703,0.387228544092706
"17","30-60","Agri",0.4251,576.7,10,87.5817565917969,949.534484863281,36.9000015258789,25.5,-11.3999996185303,10.9749994277954,106,2,1427,6.75412034988403,8.46666666666667,10.2950819672131,1.05,0.0681999984756112,1.22742666666667,5.03547716140747,0,33,17.5,49,3654,23951,3.6774001121521,2,5.3,30,0.0963351218507311,67.304286324317,0.553244188175988
"18","30-60","Agri",0.4251,576.7,10,87.5817565917969,949.534484863281,36.9000015258789,25.5,-11.3999996185303,10.9749994277954,106,2,1427,6.75412034988403,8.45333333333333,10.8873505349276,0.725,0.0702499984297901,1.17930666666667,5.03547716140747,0,30,18.5,51,3654,23951,3.6774001121521,2,5.3,50,0.0951673068936613,57.6265779738483,0.537056713074255
"19","0-30","Forest",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.05888888888889,11.1553784860558,2.12,0.0690333317903181,1.06340833333333,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,21.9,12.5,10,0.52716236700019,65.2126109396182,0.305378337047107
"20","30-60","Forest",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.37,9.31339225016993,1.05,0.0649499985482544,0.958053333333333,3.44853901863098,0,80.5,6,13.5,2001,24174,2.92449998855591,21.9,12.5,30,0.27115885946659,73.3893661319484,0.481727718649335
"21","30-60","Forest",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.48333333333333,19,0.725,0.0685499984677881,1.17475333333333,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,21.9,12.5,50,0.209194183924028,76.0064096372581,0.520355541165078
"22","0-30","Grassland",0.0844,124,9.1,44.8859024047852,1596.03955078125,55.3000030517578,35.2000007629395,-20.1000003814697,11.8166666030884,20,5,246.5625,0.135972231626511,8.53666666666667,91.9398594,1.555,0.070599998421967,1.37,10.1319904327393,0,25.5,5,52,2316,18022,0.260155263384956,0.6,2.5,5,0.26683763533782,71.3489036725213,0.488302126253137
"23","0-30","Grassland",0.0844,124,9.1,44.8859024047852,1596.03955078125,55.3000030517578,35.2000007629395,-20.1000003814697,11.8166666030884,20,5,246.5625,0.135972231626511,8.64333333333333,94.2142359,2.01,0.138799996897578,1.57,10.1319904327393,0,24,5,52,2316,18022,0.260155263384956,0.6,2.5,15,0.26282685153924,72.8214094978583,0.468300266103989
