Climatic_zone,Vegetation_type,Sample_size,MAP,Soil_MAT,LAI,Mean_pH,CUEst
Arid,Grasslands,3,158,12.11999989,0.752,5.01,0.43
Arid,Grasslands,3,267,1.875,1.08,7.717,0.533
Cold,Grasslands,3,309,-0.250000007,1.762,7.63,0.474
Cold,Grasslands,3,355,3.180000019,2.274,7.08,0.361
Cold,Grasslands,3,309,4.016666651,1.041,7.45,0.384
Cold,Grasslands,3,347,3.480000019,1.804,6.73,0.414
Cold,Grasslands,3,428,3.333333333,1.78,6.15,0.421
Arid,Grasslands,3,237,4.5,0.873,7.96,0.5
Arid,Grasslands,3,322,4.76666673,1.456,8.153,0.418
Cold,Grasslands,3,409,4.875000119,1.102,7.033,0.423
Cold,Grasslands,3,392,4.199999809,1.29,7.39,0.339
Arid,Grasslands,3,330,5.340000153,0.95,7.79,0.39
Arid,Grasslands,3,354,8.540000153,0.71,8.7,0.361
Arid,Grasslands,3,367,7.725000024,0.7,8.2,0.342
Arid,Grasslands,3,209,3.679999971,0.64,8.41,0.543
Arid,Grasslands,3,215,5.28333346,0.601,7.713,0.517
Arid,Grasslands,3,225,6.800000095,0.49,8.29,0.516
Arid,Grasslands,3,222,5.880000114,0.776,7.98,0.445
Arid,Grasslands,3,262,6.659999847,0.707,7.763,0.484
Arid,Grasslands,3,300,9.650000095,0.386,8.867,0.493
Cold,Mixed forest,6,1173,8.825000048,4.779,4.822,0.272
Cold,Mixed forest,6,1242,7.049999952,4.533,4.927,0.399
Cold,Mixed forest,6,869,5.537500024,3.41,4.398,0.448
Arid,Open shrublands,9,279,22.07500029,0.993,8.633,0.338
Arid,Open shrublands,9,264,24.20000029,0.993,8.633,0.397
Tropical,Evergreen Broadleaf forest,3,737,8.039999962,2.741,5.067,0.277
Tropical,Evergreen Broadleaf forest,3,988,17.69999981,3.035,5.211,0.192
Cold,Mixed forest,4,1201,6.674999952,4.26,6.905,0.361
Temperate,Mixed forest,4,988,15.92500019,1.993,8.3,0.439
Temperate,Mixed forest,4,988,15.92500019,1.993,8.2,0.343
Temperate,Mixed forest,4,988,15.92500019,1.993,8.27,0.446
Cold,Grasslands,4,374,3.24000001,1.913,6.53,0.498
Temperate,Evergreen Broadleaf forest,3,836,14.92499995,1.756,4.85,0.227
Temperate,Evergreen Broadleaf forest,3,836,14.92499995,1.756,5.18,0.211
Temperate,Mixed forest,6,1521,18.50000048,3.16,4.8,0.294
Temperate,Mixed forest,6,1521,18.50000048,3.16,4.72,0.268
Temperate,Mixed forest,6,1521,18.50000048,3.16,4.77,0.242
Temperate,Mixed forest,3,1803,23.05000019,2.629,4.62,0.377
Temperate,Woody savannas,3,1810,20.10000038,2.183,5.47,0.464
Temperate,Mixed forest,3,1287,17.67499971,3.456,5.01,0.426
Temperate,Mixed forest,3,1422,16.05000043,3.068,5.3,0.407
Temperate,Mixed forest,3,1279,15.90000033,1.982,4.66,0.334
Temperate,Mixed forest,3,1052,14,3.52,5.94,0.396
Temperate,Mixed forest,3,858,15.04999995,3.11,5.63,0.412
Temperate,Mixed forest,3,1359,17.94999981,3.593,4.31,0.348
Temperate,Mixed forest,3,1359,17.94999981,3.593,3.89,0.313
Temperate,Mixed forest,3,1359,17.94999981,3.593,4.09,0.337
Temperate,Mixed forest,3,1359,17.94999981,3.593,4.04,0.288
Temperate,Mixed forest,3,1359,17.94999981,3.593,4.17,0.334
Cold,Grasslands,6,746,1.525000006,1.32,9.01,0.379
Cold,Grasslands,6,746,1.525000006,1.32,8.39,0.29
Cold,Grasslands,6,746,1.525000006,1.32,8.83,0.327
Cold,Grasslands,6,746,1.525000006,1.32,8.66,0.252
Cold,Grasslands,6,746,1.525000006,1.32,8.98,0.19
Cold,Grasslands,6,746,1.525000006,1.32,6.96,0.297
Cold,Grasslands,6,746,1.525000006,1.32,6.35,0.279
Cold,Grasslands,6,746,1.525000006,1.32,6.14,0.336
Cold,Grasslands,3,658,3,3.226,7.94,0.193
Cold,Grasslands,3,665,3.099999905,3.336,6.24,0.275
Cold,Grasslands,3,683,3.199999988,3.276,6.97,0.122
Cold,Mixed forest,20,550,5.524999976,3.263,6.88,0.185
Cold,Grasslands,3,491,11.45000005,1.362,8.79,0.313
Temperate,Grasslands,4,918,24.46666654,1.094,7.54,0.485
Temperate,Grasslands,4,918,26.73333359,0.864,7.72,0.567
Temperate,Grasslands,4,918,17.40000025,0.474,7.82,0.571
Cold,Grasslands,15,434,8.149999976,0.799,7.73,0.291
Cold,Grasslands,15,434,8.149999976,0.799,7.21,0.31
Cold,Grasslands,15,434,8.149999976,0.799,7.02,0.37
Cold,Grasslands,15,434,8.149999976,0.799,6.54,0.364
Cold,Grasslands,15,434,8.149999976,0.799,6.17,0.344
Cold,Grasslands,15,434,8.149999976,0.799,6.03,0.324
Cold,Grasslands,6,483,0.600000016,2.983,7.137,0.522
Cold,Grasslands,3,485,11.3499999,1.094,8.51,0.464
Cold,Grasslands,3,485,10.94999981,1.094,8.27,0.477
Cold,Grasslands,3,485,11.2249999,1.094,8.19,0.438
Cold,Grasslands,3,485,10.62499976,1.094,8.07,0.414
Temperate,Mixed forest,3,1701,15.67500019,3.669,4.5,0.264
Temperate,Mixed forest,3,1701,15.67500019,3.669,4.8,0.244
Temperate,Evergreen Broadleaf forest,10,2539,4.625,1.153,5.1,0.383
Temperate,Evergreen Broadleaf forest,10,2539,5.066666603,1.153,5.2,0.363
Temperate,Evergreen Broadleaf forest,10,2539,4.625,1.153,4.6,0.202
Temperate,Evergreen Broadleaf forest,5,2539,4.974999905,1.153,5.1,0.292
Cold,Mixed forest,4,559,8.325000167,1.957,6.02,0.116
Cold,Mixed forest,4,559,8.325000167,1.957,6.1,0.119
Cold,Grasslands,15,769,2.719999957,1.592,5.63,0.236
Cold,Grasslands,15,769,2.719999957,1.592,5.7,0.218
Cold,Grasslands,15,769,2.719999957,1.592,4.78,0.23
Cold,Grasslands,15,769,2.719999957,1.592,4.86,0.33
Arid,Mixed forest,3,530,14.125,1.319,8.21,0.485
Arid,Mixed forest,3,530,14.125,1.319,8.25,0.361
Arid,Mixed forest,3,530,14.125,1.319,8.28,0.357
Arid,Grasslands,3,530,14.125,1.319,8.36,0.352
Arid,Grasslands,3,530,14.125,1.319,8.09,0.336
Cold,Mixed forest,3,846,5.475000024,3.268,5.4,0.309
Cold,Mixed forest,3,846,5.475000024,3.268,6.1,0.278
Cold,Mixed forest,3,846,5.475000024,3.268,6.1,0.294
Cold,Mixed forest,3,846,5.475000024,3.268,6.1,0.3
Cold,Mixed forest,3,846,5.475000024,3.268,5.8,0.281
Cold,Mixed forest,3,846,5.475000024,3.268,6.1,0.284
Cold,Mixed forest,3,846,5.475000024,3.268,6.1,0.336
Cold,Mixed forest,3,846,5.475000024,3.268,6.1,0.285
Cold,Grasslands,5,607,5.225000024,2.842,4.67,0.256
Cold,Grasslands,5,586,7.425000072,2.79,5.63,0.292
Cold,Grasslands,5,605,10.7750001,2.477,5.4,0.316
Temperate,Evergreen Broadleaf forest,3,1868,23.82499981,2.184,4.268,0.364
Temperate,Evergreen Broadleaf forest,3,1868,23.82499981,2.741,3.969,0.319
Cold,Mixed forest,3,467,0.699999998,3.794,6.673,0.44
Cold,Mixed forest,3,628,3.080000019,3.795,5.59,0.297
Cold,Mixed forest,3,714,3.619999981,4.25,5.263,0.393
Cold,Grasslands,3,449,3.899999976,3.764,6.183,0.413
Cold,Mixed forest,3,497,11.83999996,3.2,6.41,0.421
Cold,Mixed forest,3,729,5.274999976,3.755,6.1,0.373
Temperate,Mixed forest,3,1434,16.8499999,3.04,4.46,0.384
Temperate,Mixed forest,3,1757,15.49999976,3.767,4.93,0.403
Tropical,Evergreen Broadleaf forest,3,1186,25.0999999,4.083,4.877,0.412
Temperate,Woody savannas,5,1329,20.77499962,2.929,4.58,0.177
Temperate,Woody savannas,5,1329,20.77499962,2.929,4.37,0.179
Temperate,Woody savannas,5,1329,20.77499962,2.929,4.5,0.142
Cold,Grasslands,3,485,10.89999986,1.094,8.17,0.497
Cold,Grasslands,3,485,10.89999986,1.094,7.93,0.487
Cold,Grasslands,3,530,10.96000004,0.874,8.1,0.495
Cold,Grasslands,5,409,2.25,2.292,6.66,0.431
Cold,Grasslands,5,409,2.25,2.292,6.9,0.409
Temperate,Open shrublands,3,979,14.5,3.719,4.92,0.163
Cold,Grasslands,4,513,12.17499995,1.473,8.65,0.326
Cold,Grasslands,3,392,4.599999905,1.454,6.13,0.416
Cold,Grasslands,3,392,4.599999905,1.454,6.55,0.458
Cold,Grasslands,3,392,4.599999905,1.454,6.58,0.506
Temperate,Mixed forest,3,841,21,2.82,7.115,0.25
